unique_ID,date,tank_ID,species,time_interval,sample_type,treatment,fate,infection_load_GE,
Ri17.1.10,04/07/17,Ri17,Ss,initial,swab,Ss + Bs,euthanased,0,
Ri17.1.2,04/07/17,Ri17,Ss,initial,swab,Ss + Bs,euthanased,0,
Ri17.1.3,04/07/17,Ri17,Ss,initial,swab,Ss + Bs,euthanased,0.454241857,
Ri17.1.4,04/07/17,Ri17,Ss,initial,swab,Ss + Bs,euthanased,1.262804568,
Ri17.1.5,04/07/17,Ri17,Ss,initial,swab,Ss + Bs,euthanased,0,
Ri17.1.6,04/07/17,Ri17,Ss,initial,swab,Ss + Bs,euthanased,0.025323967,
Ri17.1.7,04/07/17,Ri17,Ss,initial,swab,Ss + Bs,euthanased,0.852387622,
Ri17.1.8,04/07/17,Ri17,Ss,initial,swab,Ss + Bs,euthanased,0,
Ri17.1.9,04/07/17,Ri17,Ss,initial,swab,Ss + Bs,euthanased,0,
Ri18.1.1,04/07/17,Ri18,Ss,initial,swab,Ss + Bs + Hm,euthanased,0,
Ri18.1.10,04/07/17,Ri18,Ss,initial,swab,Ss + Bs + Hm,euthanased,0.018725625,
Ri18.1.2,04/07/17,Ri18,Ss,initial,swab,Ss + Bs + Hm,euthanased,0,
Ri18.1.3,04/07/17,Ri18,Ss,initial,swab,Ss + Bs + Hm,euthanased,0,
Ri18.1.4,04/07/17,Ri18,Ss,initial,swab,Ss + Bs + Hm,euthanased,0,
Ri18.1.5,04/07/17,Ri18,Ss,initial,swab,Ss + Bs + Hm,euthanased,0,
Ri18.1.6,04/07/17,Ri18,Ss,initial,swab,Ss + Bs + Hm,euthanased,0,
Ri18.1.7,04/07/17,Ri18,Ss,initial,swab,Ss + Bs + Hm,euthanased,0,
Ri18.1.8,04/07/17,Ri18,Ss,initial,swab,Ss + Bs + Hm,euthanased,0,
Ri18.1.9,04/07/17,Ri18,Ss,initial,swab,Ss + Bs + Hm,euthanased,0.00898176,
Ri2.1.1,04/07/17,Ri2,Ss,initial,swab,random,euthanased,0.058009215,
Ri2.1.10,04/07/17,Ri2,Ss,initial,swab,random,euthanased,0,
Ri2.1.2,04/07/17,Ri2,Ss,initial,swab,random,euthanased,0.046744943,
Ri2.1.3,04/07/17,Ri2,Ss,initial,swab,random,euthanased,0,
Ri2.1.4,04/07/17,Ri2,Ss,initial,swab,random,euthanased,0,
Ri2.1.5,04/07/17,Ri2,Ss,initial,swab,random,euthanased,0.127179408,
Ri2.1.6,04/07/17,Ri2,Ss,initial,swab,random,euthanased,0,
Ri2.1.7,04/07/17,Ri2,Ss,initial,swab,random,euthanased,0,
Ri2.1.8,04/07/17,Ri2,Ss,initial,swab,random,euthanased,0,
Ri2.1.9,04/07/17,Ri2,Ss,initial,swab,random,euthanased,0,
Ri4.1.1,04/07/17,Ri4,Ss,initial,swab,random,euthanased,0,
Ri4.1.2,04/07/17,Ri4,Ss,initial,swab,random,euthanased,0.055591869,
Ri4.1.3,04/07/17,Ri4,Ss,initial,swab,random,euthanased,0,
Ri4.1.4,04/07/17,Ri4,Ss,initial,swab,random,euthanased,0,
Ri4.1.5,04/07/17,Ri4,Ss,initial,swab,random,euthanased,0,
Ri4.1.6,04/07/17,Ri4,Ss,initial,swab,random,euthanased,0,
Ri4.1.7,04/07/17,Ri4,Ss,initial,swab,random,euthanased,0,
Ri5.1.1,04/07/17,Ri5,Ss,initial,swab,random,euthanased,0.118308989,
Ri5.1.10,04/07/17,Ri5,Ss,initial,swab,random,euthanased,0,
Ri5.1.2,04/07/17,Ri5,Ss,initial,swab,random,euthanased,0.47200799,
Ri5.1.3,04/07/17,Ri5,Ss,initial,swab,random,euthanased,1.570777744,
Ri5.1.4,04/07/17,Ri5,Ss,initial,swab,random,euthanased,0.597458258,
Ri5.1.5,04/07/17,Ri5,Ss,initial,swab,random,euthanased,0.225906558,
Ri5.1.6,04/07/17,Ri5,Ss,initial,swab,random,euthanased,0.030251765,
Ri5.1.7,04/07/17,Ri5,Ss,initial,swab,random,euthanased,0.369021334,
Ri5.1.8,04/07/17,Ri5,Ss,initial,swab,random,euthanased,0.090863826,
Ri5.1.9,04/07/17,Ri5,Ss,initial,swab,random,euthanased,0.020363424,
Ri6.1.1,04/07/17,Ri6,Ss,initial,swab,Ss + Hm,euthanased,0,
Ri6.1.10,04/07/17,Ri6,Ss,initial,swab,Ss + Hm,euthanased,0.004970385,
Ri6.1.2,04/07/17,Ri6,Ss,initial,swab,Ss + Hm,euthanased,0,
Ri6.1.3,04/07/17,Ri6,Ss,initial,swab,Ss + Hm,euthanased,0.061222333,
Ri6.1.4,04/07/17,Ri6,Ss,initial,swab,Ss + Hm,euthanased,0,
Ri6.1.5,04/07/17,Ri6,Ss,initial,swab,Ss + Hm,euthanased,0,
